iter	Passed	Remaining
643	16417	12797
644	16443	12772
645	16472	12749
646	16496	12722
647	16606	12762
648	16689	12780
649	16780	12804
650	16814	12785
651	17172	13011
652	17263	13033
653	17342	13046
654	17416	13055
655	17473	13051
656	17521	13041
657	17552	13017
658	17581	12992
659	17613	12969
660	17649	12949
661	17698	12939
662	17733	12918
663	17766	12896
664	17789	12867
665	17816	12840
666	17850	12818
667	17880	12794
668	17917	12774
669	17949	12752
670	17988	12734
671	18022	12712
672	18055	12689
673	18084	12664
674	18118	12642
675	18146	12616
676	18178	12593
677	18214	12572
678	18253	12554
679	18296	12538
680	18329	12515
681	18366	12495
682	18399	12473
683	18436	12453
684	18475	12433
685	18508	12411
686	18543	12389
687	18581	12369
688	18599	12336
689	18628	12310
690	18660	12287
691	18702	12270
692	18737	12248
693	18767	12223
694	18797	12197
695	18816	12165
696	18839	12136
697	18868	12110
698	18895	12083
699	18923	12057
700	18953	12031
701	18986	12008
702	19009	11979
703	19029	11947
704	19051	11917
705	19066	11882
706	19085	11850
707	19108	11821
708	19130	11791
709	19154	11762
710	19188	11739
711	19218	11714
712	19244	11686
713	19267	11657
714	19302	11635
715	19336	11612
716	19365	11586
717	19391	11559
718	19421	11533
719	19453	11510
720	19486	11486
721	19506	11455
722	19531	11427
723	19555	11398
724	19579	11369
725	19605	11341
726	19627	11311
727	19659	11288
728	19686	11260
729	19708	11231
730	19730	11201
731	19752	11171
732	19775	11142
733	19800	11114
734	19827	11087
735	19857	11061
736	19881	11033
737	19906	11005
738	19931	10977
739	19957	10949
740	19984	10922
741	20009	10894
742	20029	10864
743	20062	10840
744	20082	10809
745	20107	10781
746	20129	10751
747	20157	10725
748	20182	10697
749	20207	10669
750	20237	10644
751	20269	10620
752	20296	10592
753	20324	10566
754	20349	10538
755	20375	10511
756	20404	10485
757	20429	10457
758	20464	10434
759	20491	10407
760	20516	10379
761	20540	10350
762	20564	10322
763	20584	10292
764	20604	10261
765	20623	10230
766	20646	10202
767	20674	10175
768	20702	10149
769	20728	10121
770	20752	10093
771	20780	10067
772	20805	10039
773	20829	10011
774	20854	9983
775	20877	9954
776	20898	9924
777	20919	9895
778	20943	9866
779	20973	9841
780	21001	9815
781	21028	9788
782	21047	9757
783	21072	9729
784	21096	9701
785	21120	9673
786	21144	9645
787	21169	9617
788	21192	9588
789	21214	9560
790	21236	9530
791	21254	9499
792	21278	9472
793	21299	9442
794	21319	9412
795	21343	9384
796	21363	9354
797	21387	9326
798	21409	9298
799	21434	9270
800	21456	9241
801	21477	9212
802	21501	9184
803	21525	9156
804	21548	9128
805	21573	9100
806	21588	9068
807	21614	9041
808	21638	9013
809	21661	8985
810	21688	8958
811	21716	8932
812	21741	8905
813	21767	8878
814	21790	8849
815	21819	8824
816	21846	8797
817	21879	8773
818	21904	8745
819	21927	8717
820	21948	8688
821	21971	8660
822	21996	8632
823	22022	8605
824	22054	8581
825	22080	8554
826	22113	8530
827	22149	8506
828	22188	8484
829	22215	8457
830	22245	8432
831	22266	8403
832	22293	8376
833	22321	8350
834	22350	8324
835	22379	8298
836	22402	8270
837	22431	8244
838	22457	8217
839	22481	8189
840	22509	8163
841	22540	8138
842	22566	8111
843	22594	8084
844	22618	8057
845	22658	8035
846	22688	8009
847	22717	7983
848	22749	7958
849	22780	7933
850	22805	7905
851	22833	7879
852	22857	7851
853	22884	7824
854	22908	7796
855	22931	7768
856	22960	7742
857	22983	7714
858	23010	7687
859	23038	7661
860	23063	7634
861	23090	7607
862	23118	7581
863	23154	7557
864	23177	7529
865	23209	7504
866	23241	7479
867	23273	7453
868	23301	7427
869	23325	7399
870	23353	7373
871	23373	7344
872	23398	7317
873	23427	7290
874	23448	7262
875	23470	7233
876	23496	7207
877	23520	7179
878	23547	7152
879	23573	7125
880	23597	7097
881	23623	7070
882	23644	7042
883	23672	7015
884	23694	6987
885	23724	6961
886	23759	6937
887	23790	6912
888	23820	6886
889	23848	6859
890	23872	6832
891	23901	6806
892	23924	6778
893	23945	6749
894	23967	6721
895	23991	6694
896	24014	6666
897	24036	6638
898	24062	6611
899	24085	6583
900	24115	6557
901	24142	6530
902	24165	6503
903	24188	6475
904	24212	6447
905	24237	6420
906	24263	6393
907	24291	6367
908	24320	6340
909	24354	6316
910	24384	6290
911	24416	6264
912	24438	6236
913	24464	6209
914	24488	6182
915	24512	6154
916	24539	6128
917	24568	6102
918	24593	6074
919	24624	6048
920	24647	6021
921	24670	5993
922	24700	5967
923	24730	5941
924	24756	5914
925	24786	5888
926	24816	5862
927	24846	5836
928	24874	5810
929	24901	5783
930	24934	5758
931	24961	5731
932	24988	5704
933	25021	5679
934	25047	5652
935	25067	5624
936	25092	5597
937	25123	5571
938	25148	5543
939	25170	5516
940	25196	5489
941	25213	5460
942	25237	5432
943	25263	5405
944	25292	5379
945	25326	5354
946	25353	5327
947	25385	5302
948	25417	5276
949	25442	5249
950	25465	5221
951	25494	5195
952	25521	5168
953	25547	5141
954	25571	5114
955	25598	5087
956	25621	5059
957	25643	5032
958	25668	5005
959	25700	4979
960	25725	4952
961	25751	4925
962	25779	4898
963	25804	4871
964	25828	4844
965	25855	4817
966	25876	4789
967	25902	4763
968	25927	4735
969	25948	4708
970	25970	4680
971	25995	4653
972	26022	4626
973	26046	4599
974	26067	4571
975	26091	4544
976	26114	4517
977	26139	4490
978	26167	4463
979	26192	4436
980	26219	4409
981	26244	4382
982	26261	4354
983	26290	4328
984	26323	4302
985	26355	4276
986	26374	4248
987	26397	4221
988	26416	4193
989	26437	4165
990	26459	4138
991	26483	4111
992	26507	4084
993	26533	4057
994	26556	4030
995	26581	4003
996	26605	3976
997	26628	3948
998	26647	3921
999	26669	3893
1000	26699	3867
1001	26723	3840
1002	26746	3813
1003	26774	3786
1004	26794	3759
1005	26816	3731
1006	26838	3704
1007	26863	3677
1008	26889	3651
1009	26926	3625
1010	26953	3599
1011	26974	3571
1012	26996	3544
1013	27015	3516
1014	27041	3490
1015	27066	3463
1016	27096	3436
1017	27118	3409
1018	27145	3383
1019	27176	3357
1020	27199	3329
1021	27227	3303
1022	27249	3276
1023	27275	3249
1024	27302	3223
1025	27326	3196
1026	27352	3169
1027	27382	3143
1028	27407	3116
1029	27429	3089
1030	27453	3062
1031	27479	3035
1032	27494	3007
1033	27517	2980
1034	27541	2953
1035	27573	2927
1036	27606	2901
1037	27637	2875
1038	27666	2849
1039	27689	2822
1040	27715	2795
1041	27742	2768
1042	27766	2742
1043	27794	2715
1044	27822	2689
1045	27847	2662
1046	27872	2635
1047	27901	2609
1048	27924	2582
1049	27944	2554
1050	27971	2528
1051	27997	2501
1052	28024	2475
1053	28051	2448
1054	28078	2421
1055	28105	2395
1056	28133	2368
1057	28161	2342
1058	28183	2315
1059	28214	2289
1060	28244	2262
1061	28268	2235
1062	28294	2209
1063	28315	2182
1064	28337	2155
1065	28366	2128
1066	28396	2102
1067	28428	2076
1068	28457	2049
1069	28485	2023
1070	28514	1996
1071	28537	1969
1072	28568	1943
1073	28589	1916
1074	28605	1889
1075	28626	1862
1076	28650	1835
1077	28677	1808
1078	28696	1781
1079	28718	1755
1080	28742	1728
1081	28765	1701
1082	28791	1674
1083	28814	1648
1084	28839	1621
1085	28868	1594
1086	28890	1568
1087	28916	1541
1088	28945	1515
1089	28972	1488
1090	28993	1461
1091	29015	1434
1092	29041	1408
1093	29071	1381
1094	29098	1355
1095	29121	1328
1096	29150	1302
1097	29178	1275
1098	29204	1248
1099	29223	1222
1100	29246	1195
1101	29273	1168
1102	29296	1142
1103	29320	1115
1104	29346	1088
1105	29371	1062
1106	29393	1035
1107	29418	1008
1108	29449	982
1109	29481	956
1110	29512	929
1111	29544	903
1112	29573	876
1113	29605	850
1114	29628	823
1115	29656	797
1116	29685	770
1117	29715	744
1118	29738	717
1119	29774	691
1120	29794	664
1121	29829	638
1122	29864	611
1123	29887	584
1124	29911	558
1125	29938	531
1126	29966	505
1127	29990	478
1128	30019	452
1129	30045	425
1130	30070	398
1131	30095	372
1132	30120	345
1133	30150	319
1134	30177	292
1135	30206	265
1136	30237	239
1137	30271	212
1138	30293	186
1139	30319	159
1140	30341	132
1141	30365	106
1142	30391	79
1143	30415	53
1144	30446	26
1145	30469	0
